caldt,vwretd
1925-12-31,
1926-01-02,0.005689
1926-01-04,0.000706
1926-01-05,-0.004821
1926-01-06,-0.000423
1926-01-07,0.004988
1926-01-08,-0.003238
1926-01-09,0.002209
1926-01-11,-0.008540
1926-01-12,-0.000929
1926-01-13,0.003700
1926-01-14,-0.005034
1926-01-15,-0.012688
1926-01-16,-0.001224
1926-01-18,0.005244
1926-01-19,-0.010983
1926-01-20,0.004059
1926-01-21,-0.007062
1926-01-22,0.005029
1926-01-23,0.005657
1926-01-25,0.004723
1926-01-26,-0.005384
1926-01-27,0.007170
1926-01-28,0.003801
1926-01-29,0.008204
1926-01-30,0.000687
1926-02-01,-0.002864
1926-02-02,0.005334
1926-02-03,0.005243
1926-02-04,0.005120
1926-02-05,-0.000215
1926-02-06,0.000577
1926-02-08,-0.006726
1926-02-09,0.005670
1926-02-10,0.000740
1926-02-11,0.000895
1926-02-13,-0.001137
1926-02-15,-0.019659
1926-02-16,0.003382
1926-02-17,0.005186
1926-02-18,0.002033
1926-02-19,0.000291
1926-02-20,-0.001115
1926-02-23,-0.009218
1926-02-24,-0.004304
1926-02-25,-0.010465
1926-02-26,-0.013364
1926-02-27,0.000758
1926-03-01,-0.013277
1926-03-02,-0.025525
1926-03-03,-0.018591
1926-03-04,0.041403
1926-03-05,0.006305
1926-03-06,-0.003078
1926-03-08,-0.006076
1926-03-09,0.007683
1926-03-10,0.008828
1926-03-11,0.006263
1926-03-12,0.003438
1926-03-13,-0.015513
1926-03-15,0.001900
1926-03-16,-0.002060
1926-03-17,-0.007107
1926-03-18,-0.012812
1926-03-19,-0.006102
1926-03-20,0.001197
1926-03-22,0.008321
1926-03-23,-0.005796
1926-03-24,-0.019537
1926-03-25,-0.001508
1926-03-26,0.003295
1926-03-27,-0.008466
1926-03-29,-0.023936
1926-03-30,-0.016563
1926-03-31,0.032359
1926-04-01,0.008847
1926-04-03,0.001300
1926-04-05,0.004735
1926-04-06,0.009142
1926-04-07,-0.003584
1926-04-08,-0.005541
1926-04-09,0.000016
1926-04-10,-0.002896
1926-04-12,-0.018504
1926-04-13,0.009197
1926-04-14,-0.011012
1926-04-15,0.001851
1926-04-16,0.000816
1926-04-17,0.001774
1926-04-19,0.000827
1926-04-20,0.003458
1926-04-21,0.013977
1926-04-22,0.009837
1926-04-23,0.011450
1926-04-24,0.005819
1926-04-26,-0.007177
1926-04-27,-0.001832
1926-04-28,0.005124
1926-04-29,0.001573
1926-04-30,-0.002373
1926-05-01,-0.001970
1926-05-03,-0.016797
1926-05-04,0.004495
1926-05-05,0.002307
1926-05-06,0.001304
1926-05-07,-0.008851
1926-05-08,-0.000467
1926-05-10,-0.004865
1926-05-11,0.000837
1926-05-12,0.002661
1926-05-13,-0.001592
1926-05-14,-0.001284
1926-05-15,-0.003729
1926-05-17,-0.000167
1926-05-18,-0.001779
1926-05-19,-0.001684
1926-05-20,0.009063
1926-05-21,0.007683
1926-05-22,0.002828
1926-05-24,0.004909
1926-05-25,0.003343
1926-05-26,0.005789
1926-05-27,0.003407
1926-05-28,0.006709
1926-06-01,-0.004687
1926-06-02,0.005296
1926-06-03,0.005005
1926-06-04,0.001839
1926-06-05,-0.000172
1926-06-07,0.002893
1926-06-08,0.001063
1926-06-09,0.000047
1926-06-10,0.001281
1926-06-11,0.007090
1926-06-12,0.006195
1926-06-14,0.004375
1926-06-15,0.000866
1926-06-16,0.007197
