PERMNO,date,RET,sprtrn
33910,1962-07-02,C,
33910,1962-07-03,0.032787,0.011278
33910,1962-07-05,0.079365,0.005665
33910,1962-07-06,,-0.011266
33910,1962-07-09,-0.014706,0.006765
33910,1962-07-10,0.029851,0.011494
33910,1962-07-11,0.000000,0.009266
33910,1962-07-12,0.014493,0.005197
33910,1962-07-13,0.000000,-0.003446
33910,1962-07-16,0.000000,0.000000
33910,1962-07-17,0.000000,-0.018157
33910,1962-07-18,-0.028571,-0.010215
33910,1962-07-19,-0.029412,0.003915
33910,1962-07-20,-0.015152,0.006912
33910,1962-07-23,0.015385,-0.000176
33910,1962-07-24,-0.007576,-0.007746
33910,1962-07-25,-0.007634,0.001774
33910,1962-07-26,-0.015385,0.005491
33910,1962-07-27,-0.015625,0.007574
33910,1962-07-30,0.015873,0.011014
33910,1962-07-31,-0.023438,0.006917
33910,1962-08-01,-0.024000,-0.008243
33910,1962-08-02,0.016393,0.003983
33910,1962-08-03,-0.016129,0.002415
33910,1962-08-06,0.016393,-0.006366
33910,1962-08-07,-0.016129,-0.006753
33910,1962-08-08,0.008197,0.002615
33910,1962-08-09,0.056911,-0.000696
33910,1962-08-10,-0.015385,0.001392
33910,1962-08-13,0.000000,0.001390
33910,1962-08-14,-0.015625,0.010758
33910,1962-08-15,0.000000,0.007039
33910,1962-08-16,0.000000,-0.000341
33910,1962-08-17,-0.015873,0.006310
33910,1962-08-20,0.048387,0.006101
33910,1962-08-21,0.027692,-0.004211
33910,1962-08-22,0.015152,0.011164
33910,1962-08-23,0.029851,-0.001338
33910,1962-08-24,0.021739,-0.002010
33910,1962-08-27,-0.021277,-0.000504
33910,1962-08-28,-0.014493,-0.012762
33910,1962-08-29,-0.022059,-0.002211
33910,1962-08-30,-0.007519,0.000341
33910,1962-08-31,0.030303,0.007498
33910,1962-09-04,-0.102941,-0.009472
33910,1962-09-05,0.000000,-0.007514
33910,1962-09-06,0.016393,0.004129
33910,1962-09-07,-0.016129,0.000343
33910,1962-09-10,-0.016393,0.001199
33910,1962-09-11,-0.033333,0.002395
33910,1962-09-12,-0.034483,0.004267
33910,1962-09-13,0.071429,-0.002379
33910,1962-09-14,0.033333,0.003237
33910,1962-09-17,0.032258,0.003226
33910,1962-09-18,0.000000,-0.000846
33910,1962-09-19,0.015625,-0.001355
33910,1962-09-20,0.092308,-0.006955
33910,1962-09-21,-0.042254,-0.014520
33910,1962-09-24,-0.058824,-0.018374
33910,1962-09-25,0.031250,0.005827
33910,1962-09-26,-0.030303,-0.014221
33910,1962-09-27,0.000000,-0.006768
33910,1962-09-28,-0.023438,0.008965
33910,1962-10-01,-0.040000,-0.013862
33910,1962-10-02,0.025000,0.010993
33910,1962-10-03,-0.024390,0.001070
33910,1962-10-04,0.000000,0.009615
33910,1962-10-05,0.000000,0.006526
33910,1962-10-08,-0.025000,0.000000
33910,1962-10-09,-0.025641,0.002278
33910,1962-10-10,0.017544,0.000699
33910,1962-10-11,,-0.003319
33910,1962-10-12,-0.017241,-0.001753
33910,1962-10-15,-0.017544,0.005619
33910,1962-10-16,-0.017857,-0.003318
33910,1962-10-17,0.000000,-0.003329
33910,1962-10-18,0.000000,-0.009668
33910,1962-10-19,-0.009091,-0.013312
33910,1962-10-22,-0.045872,-0.011333
33910,1962-10-23,-0.057692,-0.026747
33910,1962-10-24,-0.122449,0.032156
33910,1962-10-25,0.116279,-0.009419
33910,1962-10-26,0.020833,-0.002743
33910,1962-10-29,0.000000,0.021636
33910,1962-10-30,0.061224,0.014716
33910,1962-10-31,-0.076923,-0.000354
33910,1962-11-01,0.000000,0.010616
33910,1962-11-02,0.020833,0.011029
33910,1962-11-05,0.020408,0.010390
33910,1962-11-07,-0.020000,0.006170
33910,1962-11-08,0.020408,-0.006643
33910,1962-11-09,0.000000,0.007888
33910,1962-11-12,0.020000,0.013780
33910,1962-11-13,0.019608,-0.002182
33910,1962-11-14,0.019231,0.011773
33910,1962-11-15,0.018868,-0.003158
33910,1962-11-16,0.000000,0.003168
33910,1962-11-19,0.014815,-0.005652
33910,1962-11-20,-0.037037,0.010532
33910,1962-11-21,-0.038462,0.005955
33910,1962-11-23,0.000000,0.012005
33910,1962-11-26,0.000000,-0.002925
33910,1962-11-27,-0.040000,0.006030
33910,1962-11-28,0.000000,0.006318
33910,1962-11-29,0.041667,0.004668
33910,1962-11-30,0.020000,-0.002403
33910,1962-12-03,0.000000,-0.005140
33910,1962-12-04,0.019608,0.011301
33910,1962-12-05,0.000000,0.003991
33910,1962-12-06,,0.000636
33910,1962-12-07,0.019231,0.002066
33910,1962-12-10,-0.037736,-0.012528
33910,1962-12-11,0.039216,0.000803
33910,1962-12-12,-0.037736,0.004974
33910,1962-12-13,-0.019608,-0.003353
33910,1962-12-14,0.020000,0.002403
33910,1962-12-17,-0.039216,-0.003196
33910,1962-12-18,-0.020408,-0.004810
33910,1962-12-19,0.000000,0.008217
33910,1962-12-20,0.020833,0.003835
33910,1962-12-21,0.000000,-0.002865
33910,1962-12-24,-0.020408,-0.000160
33910,1962-12-26,0.020833,0.006227
33910,1962-12-27,-0.081633,-0.001428
33910,1962-12-28,0.000000,0.000477
33910,1962-12-31,0.022222,0.002224
33910,1963-01-02,-0.010870,-0.006498
33910,1963-01-03,0.076923,0.016430
33910,1963-01-04,-0.040816,0.006434
33910,1963-01-07,0.063830,-0.000156
33910,1963-01-08,0.000000,0.009669
33910,1963-01-09,-0.020000,-0.002317
33910,1963-01-10,0.020408,0.001858
33910,1963-01-11,0.000000,0.002163
33910,1963-01-14,0.040000,0.005397
33910,1963-01-15,0.000000,-0.001380
33910,1963-01-16,0.000000,-0.006758
33910,1963-01-17,0.000000,0.007113
33910,1963-01-18,-0.009615,0.000768
33910,1963-01-21,-0.029126,0.001534
33910,1963-01-22,0.040000,0.002451
33910,1963-01-23,0.000000,0.002751
33910,1963-01-24,0.000000,0.001981
33910,1963-01-25,0.000000,0.002586
33910,1963-01-28,0.019231,0.004854
33910,1963-01-29,-0.018868,-0.000151
33910,1963-01-30,0.000000,-0.005738
33910,1963-01-31,-0.019231,0.005315
33910,1963-02-01,-0.019608,0.001662
33910,1963-02-04,-0.040000,-0.002111
33910,1963-02-05,-0.041667,-0.000907
33910,1963-02-06,0.043478,0.004387
33910,1963-02-07,-0.041667,-0.003464
33910,1963-02-08,-0.043478,0.000000
33910,1963-02-11,0.000000,-0.006196
33910,1963-02-12,0.000000,0.001064
33910,1963-02-13,0.000000,0.004861
33910,1963-02-14,0.000000,0.003023
33910,1963-02-15,0.022727,0.000904
33910,1963-02-18,-0.013333,0.001656
33910,1963-02-19,-0.022727,-0.004811
33910,1963-02-20,0.023256,-0.005589
33910,1963-02-21,-0.011364,0.001367
33910,1963-02-25,0.011494,-0.006978
33910,1963-02-26,-0.011364,0.000153
33910,1963-02-27,0.011494,-0.007026
33910,1963-02-28,-0.022727,-0.011075
33910,1963-03-01,0.000000,-0.002955
33910,1963-03-04,-0.046512,0.009672
33910,1963-03-05,0.048780,0.000309
33910,1963-03-06,-0.034884,0.001699
33910,1963-03-07,0.012048,0.006322
33910,1963-03-08,0.000000,0.001073
33910,1963-03-11,-0.047619,0.002755
33910,1963-03-12,0.000000,0.002442
33910,1963-03-13,-0.025000,0.003655
33910,1963-03-14,-0.051282,-0.004703
33910,1963-03-15,0.054054,0.005030
33910,1963-03-18,-0.051282,-0.004854
33910,1963-03-19,0.000000,-0.002134
33910,1963-03-20,0.000000,0.007332
33910,1963-03-21,0.000000,-0.001516
33910,1963-03-22,0.000000,0.005163
33910,1963-03-25,-0.027027,0.000302
33910,1963-03-26,-0.041667,0.002870
33910,1963-03-27,-0.014493,0.004217
33910,1963-03-28,0.029412,-0.001500
33910,1963-03-29,0.000000,-0.000150
33910,1963-04-01,0.000000,0.004206
33910,1963-04-02,0.028571,-0.000150
33910,1963-04-03,0.027778,0.007780
33910,1963-04-04,-0.027027,0.007274
33910,1963-04-05,0.055556,0.006338
33910,1963-04-08,-0.013158,0.003515
33910,1963-04-09,-0.013333,-0.001022
33910,1963-04-10,0.000000,-0.002337
33910,1963-04-11,0.040541,0.007029
33910,1963-04-15,-0.012987,0.004653
33910,1963-04-16,-0.052632,0.000724
33910,1963-04-17,0.013889,-0.003182
33910,1963-04-18,0.000000,-0.000435
33910,1963-04-19,0.000000,0.004935
33910,1963-04-22,-0.013699,0.001011
33910,1963-04-23,0.013889,0.003319
33910,1963-04-24,0.013699,0.002733
33910,1963-04-25,0.027027,0.000574
33910,1963-04-26,-0.013158,-0.000860
33910,1963-04-29,0.013333,-0.000717
33910,1963-04-30,0.000000,0.002154
33910,1963-05-01,-0.052632,0.002436
33910,1963-05-02,0.000000,0.002858
33910,1963-05-03,-0.027778,-0.001995
33910,1963-05-06,-0.057143,-0.007140
33910,1963-05-07,-0.060606,-0.001294
33910,1963-05-08,0.096774,0.008209
33910,1963-05-09,-0.029412,0.004856
33910,1963-05-10,0.030303,0.002416
33910,1963-05-13,0.000000,-0.000567
33910,1963-05-14,0.000000,-0.003831
33910,1963-05-15,0.000000,0.003133
33910,1963-05-16,-0.029412,-0.002556
33910,1963-05-17,0.030303,0.000569
33910,1963-05-20,0.000000,-0.004695
33910,1963-05-21,-0.029412,0.002573
33910,1963-05-22,-0.030303,0.000000
33910,1963-05-23,0.046875,-0.000570
33910,1963-05-24,-0.014925,-0.001141
33910,1963-05-27,0.015152,-0.002142
33910,1963-05-28,-0.044776,0.002004
33910,1963-05-29,0.062500,0.004571
33910,1963-05-31,0.029412,0.006683
33910,1963-06-03,-0.085714,-0.001554
33910,1963-06-04,0.000000,0.000141
33910,1963-06-05,0.031250,-0.002405
33910,1963-06-06,0.000000,0.000709
33910,1963-06-07,0.000000,-0.002409
33910,1963-06-10,-0.060606,-0.006675
33910,1963-06-11,0.000000,0.001287
33910,1963-06-12,0.000000,0.005426
33910,1963-06-13,0.016129,-0.002556
33910,1963-06-14,0.015873,0.000285
33910,1963-06-17,0.000000,-0.004413
33910,1963-06-18,-0.015625,0.001144
33910,1963-06-19,-0.047619,0.001000
33910,1963-06-20,0.016667,-0.001141
33910,1963-06-21,-0.016393,0.003428
33910,1963-06-24,0.033333,-0.000712
33910,1963-06-25,0.016129,-0.002279
33910,1963-06-26,-0.015873,-0.008995
33910,1963-06-27,-0.032258,-0.004898
33910,1963-06-28,0.050000,0.004343
33910,1963-07-01,-0.015873,-0.007352
33910,1963-07-02,0.016129,0.008713
33910,1963-07-03,-0.015873,0.006910
33910,1963-07-05,0.032258,0.004003
33910,1963-07-08,-0.031250,-0.006836
33910,1963-07-09,0.000000,0.004302
33910,1963-07-10,-0.016129,-0.002142
33910,1963-07-11,-0.016393,-0.001860
33910,1963-07-12,0.000000,-0.001720
33910,1963-07-15,0.000000,-0.006318
33910,1963-07-16,0.000000,-0.000867
33910,1963-07-17,0.000000,-0.003037
33910,1963-07-18,0.000000,-0.006383
33910,1963-07-19,0.000000,-0.002044
33910,1963-07-22,-0.016667,-0.006584
33910,1963-07-23,0.000000,0.000147
33910,1963-07-24,-0.016949,0.005448
33910,1963-07-25,-0.017241,-0.000293
33910,1963-07-26,0.000000,0.004102
33910,1963-07-29,-0.017544,0.001897
33910,1963-07-30,0.071429,0.008301
33910,1963-07-31,0.000000,-0.001589
33910,1963-08-01,-0.066667,-0.000868
33910,1963-08-02,0.035714,0.003330
33910,1963-08-05,-0.034483,0.005916
33910,1963-08-06,0.035714,0.006599
33910,1963-08-07,-0.034483,-0.002993
33910,1963-08-08,0.035714,0.000858
33910,1963-08-09,-0.034483,0.006570
33910,1963-08-12,0.000000,0.001561
33910,1963-08-13,-0.017857,0.002833
33910,1963-08-14,0.018182,0.003955
33910,1963-08-15,0.035714,0.004362
33910,1963-08-16,-0.017241,0.001541
33910,1963-08-19,0.017544,-0.000699
33910,1963-08-20,0.000000,-0.000840
33910,1963-08-21,0.000000,-0.001261
33910,1963-08-22,0.034483,0.003507
33910,1963-08-23,0.016667,0.003075
33910,1963-08-26,-0.016393,0.002090
33910,1963-08-27,-0.066667,-0.005423
33910,1963-08-28,0.107143,0.007271
33910,1963-08-29,0.000000,0.001666
33910,1963-08-30,-0.032258,0.004712
33910,1963-09-03,0.016667,0.002207
33910,1963-09-04,-0.049180,-0.000275
33910,1963-09-05,0.000000,0.004956
33910,1963-09-06,0.034483,-0.002192
33910,1963-09-09,-0.033333,-0.003569
33910,1963-09-10,0.000000,0.005649
33910,1963-09-11,0.017241,0.002877
33910,1963-09-12,-0.033898,-0.000683
33910,1963-09-13,-0.052632,0.000273
33910,1963-09-16,0.037037,-0.001367
33910,1963-09-17,-0.035714,0.000684
33910,1963-09-18,-0.037037,-0.004376
33910,1963-09-19,0.000000,0.005769
33910,1963-09-20,-0.076923,0.001093
33910,1963-09-23,0.000000,-0.004638
33910,1963-09-24,0.000000,0.004660
33910,1963-09-25,0.000000,-0.005593
33910,1963-09-26,-0.041667,-0.008506
33910,1963-09-27,0.021739,-0.001937
33910,1963-09-30,-0.021277,-0.005961
33910,1963-10-01,-0.043478,0.007252
33910,1963-10-02,0.000000,0.001108
33910,1963-10-03,0.045455,0.007331
33910,1963-10-04,-0.043478,0.000275
33910,1963-10-07,0.090909,-0.002059
33910,1963-10-08,0.041667,-0.001376
33910,1963-10-09,0.080000,-0.005785
33910,1963-10-10,0.000000,0.000277
33910,1963-10-11,-0.074074,0.000970
33910,1963-10-14,0.040000,0.000415
33910,1963-10-15,-0.038462,0.001383
33910,1963-10-16,0.040000,0.007873
33910,1963-10-17,-0.038462,0.003974
33910,1963-10-18,0.000000,0.000819
33910,1963-10-21,0.120000,0.000818
33910,1963-10-22,0.035714,-0.005724
33910,1963-10-23,0.034483,0.000548
33910,1963-10-24,0.000000,0.003836
33910,1963-10-25,0.000000,0.009962
33910,1963-10-28,0.166667,0.006350
33910,1963-10-29,0.285714,-0.000269
33910,1963-10-30,-0.044444,-0.008864
33910,1963-10-31,0.000000,0.002846
33910,1963-11-01,-0.023256,-0.002432
33910,1963-11-04,-0.071429,-0.005147
33910,1963-11-06,-0.128205,-0.008713
33910,1963-11-07,0.058824,0.003434
33910,1963-11-08,-0.027778,0.004106
33910,1963-11-11,0.000000,0.002181
33910,1963-11-12,-0.028571,-0.003945
33910,1963-11-13,0.058824,0.000819
33910,1963-11-14,0.000000,-0.004639
33910,1963-11-15,0.111111,-0.008225
33910,1963-11-18,0.125000,-0.007187
33910,1963-11-19,0.000000,0.000975
33910,1963-11-20,-0.177778,0.009179
33910,1963-11-21,0.081081,-0.012955
33910,1963-11-22,-0.050000,-0.028065
33910,1963-11-26,-0.078947,0.039793
33910,1963-11-27,0.000000,-0.001796
33910,1963-11-29,0.057143,0.013564
33910,1963-12-02,0.027027,0.005872
33910,1963-12-03,0.052632,-0.000543
33910,1963-12-04,-0.050000,0.002445
33910,1963-12-05,-0.052632,0.006504
33910,1963-12-06,0.027778,-0.003770
33910,1963-12-09,0.027027,-0.000541
33910,1963-12-10,-0.052632,0.000406
33910,1963-12-11,-0.027778,-0.001216
33910,1963-12-12,0.257143,0.000135
33910,1963-12-13,-0.045455,0.002029
33910,1963-12-16,0.095238,0.003241
33910,1963-12-17,0.152174,0.005922
33910,1963-12-18,-0.037736,-0.001472
33910,1963-12-19,0.098039,-0.003082
33910,1963-12-20,0.035714,-0.001613
33910,1963-12-23,0.000000,-0.006327
33910,1963-12-24,-0.086207,0.002168
33910,1963-12-26,-0.018868,0.004732
33910,1963-12-27,0.057692,0.001615
33910,1963-12-30,-0.036364,0.001612
33910,1963-12-31,0.056604,0.006170
33910,1964-01-02,0.000000,0.005465
33910,1964-01-03,0.196429,0.000928
33910,1964-01-06,0.149254,0.002252
33910,1964-01-07,-0.038961,0.000264
33910,1964-01-08,-0.054054,0.004096
33910,1964-01-09,-0.042857,0.003684
33910,1964-01-10,0.000000,-0.000524
33910,1964-01-13,-0.029851,-0.000262
33910,1964-01-14,0.215385,0.001837
33910,1964-01-15,-0.063291,0.003667
33910,1964-01-16,0.054054,-0.001174
33910,1964-01-17,-0.051282,0.000131
33910,1964-01-20,0.040541,-0.001959
33910,1964-01-21,0.000000,0.002748
33910,1964-01-22,0.077922,0.005351
33910,1964-01-23,0.024096,0.000779
33910,1964-01-24,0.105882,0.000259
33910,1964-01-27,-0.010638,-0.000389
33910,1964-01-28,0.000000,0.000259
33910,1964-01-29,-0.053763,-0.006096
33910,1964-01-30,0.000000,0.000913
33910,1964-01-31,-0.045455,0.004433
33910,1964-02-03,-0.107143,-0.000909
33910,1964-02-04,-0.040000,-0.001169
33910,1964-02-05,0.111111,-0.001691
33910,1964-02-06,-0.025000,0.002345
33910,1964-02-07,-0.012821,0.003250
33910,1964-02-10,-0.006494,-0.001684
33910,1964-02-11,-0.032680,0.003634
33910,1964-02-12,0.013514,0.003104
33910,1964-02-13,-0.026667,-0.000645
33910,1964-02-14,0.027397,-0.000516
33910,1964-02-17,-0.026667,-0.000258
33910,1964-02-18,-0.068493,0.000129
33910,1964-02-19,-0.014706,0.001033
33910,1964-02-20,0.104478,0.000903
33910,1964-02-24,0.027027,0.000773
33910,1964-02-25,-0.052632,0.000000
33910,1964-02-26,0.000000,0.002446
33910,1964-02-27,-0.055556,-0.003210
33910,1964-02-28,0.088235,0.002319
33910,1964-03-02,0.013514,0.002185
33910,1964-03-03,0.026667,0.003206
33910,1964-03-04,-0.025974,-0.001918
33910,1964-03-05,-0.020000,-0.000128
33910,1964-03-06,-0.020408,0.003203
33910,1964-03-09,-0.013889,0.000255
33910,1964-03-10,0.014085,0.003319
33910,1964-03-11,-0.041667,0.004581
33910,1964-03-12,0.000000,0.001647
33910,1964-03-13,-0.014493,0.000759
33910,1964-03-16,0.014706,0.000000
33910,1964-03-17,-0.014493,0.002274
33910,1964-03-18,0.000000,0.000756
33910,1964-03-19,0.000000,-0.001008
33910,1964-03-20,-0.044118,-0.004792
33910,1964-03-23,-0.138462,0.000127
33910,1964-03-24,0.071429,-0.001774
33910,1964-03-25,0.016667,0.002285
33910,1964-03-26,0.049180,0.002786
33910,1964-03-30,-0.015625,-0.000631
33910,1964-03-31,-0.015873,-0.002022
33910,1964-04-01,-0.032258,0.003292
33910,1964-04-02,-0.083333,0.005805
33910,1964-04-03,-0.018182,0.003011
33910,1964-04-06,0.018519,0.001001
33910,1964-04-07,0.000000,-0.003499
33910,1964-04-08,0.000000,0.000125
33910,1964-04-09,0.036364,-0.000627
33910,1964-04-10,0.000000,0.001882
33910,1964-04-13,0.000000,-0.001002
33910,1964-04-14,0.000000,0.002758
33910,1964-04-15,-0.035088,0.001250
33910,1964-04-16,-0.018182,0.001373
33910,1964-04-17,0.000000,0.004364
33910,1964-04-20,0.000000,-0.000621
33910,1964-04-21,0.018519,0.000497
33910,1964-04-22,-0.018182,-0.000621
33910,1964-04-23,0.000000,-0.001367
33910,1964-04-24,-0.018519,-0.007838
33910,1964-04-27,-0.018868,-0.005016
33910,1964-04-28,-0.019231,0.006931
33910,1964-04-29,0.019608,-0.002503
33910,1964-04-30,-0.019231,-0.003011
33910,1964-05-01,0.000000,0.008935
33910,1964-05-04,-0.058824,0.003742
33910,1964-05-05,-0.020833,0.005095
33910,1964-05-06,-0.021277,0.002226
33910,1964-05-07,0.000000,0.001110
33910,1964-05-08,-0.021739,-0.001848
33910,1964-05-11,-0.022222,-0.001235
33910,1964-05-12,-0.045455,0.003214
33910,1964-05-13,-0.023810,-0.002341
33910,1964-05-14,0.000000,-0.001359
33910,1964-05-15,0.024390,0.001855
33910,1964-05-18,0.000000,-0.003580
33910,1964-05-19,0.000000,-0.005203
33910,1964-05-20,-0.023810,0.004483
33910,1964-05-21,0.000000,0.000496
33910,1964-05-22,0.012195,0.000372
33910,1964-05-25,0.000000,-0.002106
33910,1964-05-26,0.036145,-0.002110
33910,1964-05-27,-0.023256,-0.001617
33910,1964-05-28,0.000000,0.001371
33910,1964-06-01,-0.119048,-0.003235
33910,1964-06-02,0.027027,-0.005118
33910,1964-06-03,0.026316,-0.002635
33910,1964-06-04,-0.025641,-0.010316
33910,1964-06-05,0.052632,0.004449
33910,1964-06-08,0.000000,-0.004809
33910,1964-06-09,-0.025000,0.006358
33910,1964-06-10,0.051282,0.003791
33910,1964-06-11,-0.024390,0.003651
33910,1964-06-12,0.025000,-0.001631
33910,1964-06-15,0.024390,0.004648
33910,1964-06-16,0.000000,0.005377
33910,1964-06-17,-0.047619,0.005100
33910,1964-06-18,0.012500,-0.000247
33910,1964-06-19,0.000000,0.001238
33910,1964-06-22,0.012346,0.002720
33910,1964-06-23,0.000000,-0.004192
33910,1964-06-24,0.012195,0.003590
33910,1964-06-25,-0.012048,0.001850
33910,1964-06-26,0.000000,0.003078
33910,1964-06-29,0.024390,0.002210
33910,1964-06-30,0.047619,0.000612
33910,1964-07-01,0.022727,0.007100
33910,1964-07-02,0.022222,0.004011
33910,1964-07-06,0.065217,0.004600
33910,1964-07-07,0.204082,0.001687
33910,1964-07-08,0.118644,0.000000
33910,1964-07-09,-0.030303,0.001203
33910,1964-07-10,-0.015625,0.001682
33910,1964-07-13,-0.063492,-0.000600
33910,1964-07-14,-0.101695,-0.003001
33910,1964-07-15,0.037736,0.003371
33910,1964-07-16,0.000000,0.003600
33910,1964-07-17,0.009091,0.004424
33910,1964-07-20,-0.009009,-0.003214
33910,1964-07-21,0.000000,-0.002388
33910,1964-07-22,0.018182,-0.000239
33910,1964-07-23,0.035714,-0.000479
33910,1964-07-24,-0.034483,-0.000240
33910,1964-07-27,-0.035714,-0.004553
33910,1964-07-28,0.000000,-0.002768
33910,1964-07-29,-0.018519,0.000845
33910,1964-07-30,-0.018868,0.002050
33910,1964-07-31,0.000000,0.001083
33910,1964-08-03,0.019231,-0.002164
